index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,4,0.00733333,4,0.366667,4,0.444444
1,11,0,0.02,7,0.00925,3,0.375,-1,0.5
2,12,0,0.03,11,0.0112,4,0.38,1,0.509091
3,13,0,0.04,15,0.0148,4,0.36,0,0.805195
4,14,0,0.05,19,0.0188,4,0.4,0,0.772727
5,15,0,0.06,22,0.0228,3,0.4,-1,0.678788
6,16,0,0.07,27,0.0268,5,0.4,2,0.690909
7,17,0,0.08,31,0.0308,4,0.4,-1,0.690909
8,18,0,0.09,35,0.0352,4,0.44,0,0.672727
9,19,0,0.1,39,0.0394,4,0.42,0,0.581818
10,20,0,0.11,44,0.0436,5,0.42,1,0.709091
11,21,0,0.12,48,0.048,4,0.44,-1,0.763636
12,22,0,0.13,52,0.0524,4,0.44,0,0.836364
13,23,0,0.14,57,0.0568,5,0.44,1,0.818182
14,24,0,0.15,61,0.0614,4,0.46,-1,0.927273
15,25,0,0.16,66,0.0662,5,0.48,1,0.963636
16,26,0,0.17,71,0.071,5,0.48,0,0.909091
17,27,0,0.18,76,0.076,5,0.5,0,0.872727
18,28,0,0.19,81,0.081,5,0.5,0,0.854545
19,29,0,0.2,86,0.086,5,0.5,0,0.745454
20,30,0,0.21,91,0.0912,5,0.52,0,0.654545
21,31,0,0.22,96,0.0964,5,0.52,0,0.690909
22,32,0,0.23,102,0.1016,6,0.52,1,0.654545
23,33,0,0.24,107,0.107,5,0.54,-1,0.654545
24,34,0,0.25,112,0.1124,5,0.54,0,0.690909
25,35,0,0.26,118,0.1178,6,0.54,1,0.654545
26,36,0,0.27,123,0.1234,5,0.56,-1,0.654545
27,37,0,0.28,129,0.129,6,0.56,1,0.690909
28,38,0,0.29,135,0.1346,6,0.56,0,0.745455
29,39,0,0.3,140,0.1404,5,0.58,-1,0.818182
30,40,0,0.31,146,0.1462,6,0.58,1,0.818182
31,41,0,0.32,152,0.152,6,0.58,0,0.836364
32,42,0,0.33,158,0.158,6,0.6,0,0.963636
33,43,0,0.34,164,0.1642,6,0.62,0,0.909091
34,44,0,0.35,170,0.1704,6,0.62,0,0.872727
35,45,0,0.36,177,0.1766,7,0.62,1,0.945454
36,46,0,0.37,183,0.183,6,0.64,-1,0.836364
37,47,0,0.38,189,0.1896,6,0.66,0,0.654545
38,48,0,0.39,196,0.196,7,0.64,1,0.6
39,49,0,0.4,203,0.2026,7,0.66,0,0.672727
40,50,0,0.41,209,0.2094,6,0.68,-1,0.672727
41,51,0,0.42,216,0.216,7,0.66,1,0.690909
42,52,0,0.43,223,0.2226,7,0.66,0,0.727273
43,53,0,0.44,229,0.2294,6,0.68,-1,0.8
44,54,0,0.45,236,0.2364,7,0.7,1,0.709091
45,55,0,0.46,243,0.2434,7,0.7,0,0.654545
46,56,0,0.47,251,0.2506,8,0.72,1,0.745454
47,57,0,0.48,258,0.2578,7,0.72,-1,0.672727
48,58,0,0.49,265,0.265,7,0.72,0,0.618182
49,59,0,0.5,272,0.2722,7,0.72,0,0.581818
50,60,0,0.51,279,0.2794,7,0.72,0,0.672727
51,61,0,0.52,287,0.2868,8,0.74,1,0.690909
52,62,0,0.53,294,0.2942,7,0.74,-1,0.836364
53,63,0,0.54,302,0.3018,8,0.76,1,0.909091
54,64,0,0.55,309,0.3094,7,0.76,-1,0.909091
55,65,0,0.56,317,0.3172,8,0.78,1,0.836364
56,66,0,0.57,325,0.325,8,0.78,0,0.690909
57,67,0,0.58,333,0.333,8,0.8,0,0.672727
58,68,0,0.59,341,0.341,8,0.8,0,0.581818
59,69,0,0.6,349,0.349,8,0.8,0,0.618182
60,70,0,0.61,357,0.357,8,0.8,0,0.672727
61,71,0,0.62,365,0.365,8,0.8,0,0.745455
62,72,0,0.63,373,0.3732,8,0.82,0,0.745455
63,73,0,0.64,381,0.3814,8,0.82,0,0.872727
64,74,0,0.65,390,0.3898,9,0.84,1,0.933333
65,75,0,0.66,398,0.3984,8,0.86,-1,0.933333
66,76,0,0.67,407,0.407,9,0.86,1,0.954545
67,77,0,0.68,416,0.4156,9,0.86,0,0.844156
68,78,0,0.69,424,0.4244,8,0.88,-1,0.872727
69,79,0,0.7,433,0.42875,9,0.875,1,0.833333
70,80,0,0.71,442,0.433,9,0.866667,0,0.777778
