index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,0,0.000666667,0,0.0333333,0,0.444444
1,11,0,0.02,1,0.001,1,0.05,1,0.5
2,12,0,0.03,1,0.0012,0,0.04,-1,0.654545
3,13,0,0.04,2,0.0018,1,0.06,1,0.61039
4,14,0,0.05,2,0.0022,0,0.04,-1,0.792208
5,15,0,0.06,3,0.0028,1,0.06,1,0.915151
6,16,0,0.07,3,0.0034,0,0.06,-1,0.927273
7,17,0,0.08,4,0.0044,1,0.1,1,0.927273
8,18,0,0.09,5,0.0052,1,0.08,0,1.03636
9,19,0,0.1,7,0.0064,2,0.12,1,1.14545
10,20,0,0.11,7,0.0076,0,0.12,-2,1.14545
11,21,0,0.12,9,0.0088,2,0.12,2,1.21818
12,22,0,0.13,10,0.01,1,0.12,-1,1.16364
13,23,0,0.14,11,0.0116,1,0.16,0,1.2
14,24,0,0.15,13,0.0132,2,0.16,1,1.03636
15,25,0,0.16,15,0.015,2,0.18,0,0.981818
16,26,0,0.17,17,0.017,2,0.2,0,0.945454
17,27,0,0.18,19,0.019,2,0.2,0,0.909091
18,28,0,0.19,21,0.021,2,0.2,0,0.763636
19,29,0,0.2,23,0.023,2,0.2,0,0.818182
20,30,0,0.21,25,0.025,2,0.2,0,0.872727
21,31,0,0.22,27,0.0272,2,0.22,0,0.927273
22,32,0,0.23,29,0.0296,2,0.24,0,1
23,33,0,0.24,32,0.032,3,0.24,1,1.09091
24,34,0,0.25,35,0.0346,3,0.26,0,1.18182
25,35,0,0.26,37,0.0374,2,0.28,-1,1.16364
26,36,0,0.27,40,0.0402,3,0.28,1,1.12727
27,37,0,0.28,43,0.043,3,0.28,0,1.07273
28,38,0,0.29,46,0.046,3,0.3,0,1.10909
29,39,0,0.3,49,0.0492,3,0.32,0,1.03636
30,40,0,0.31,52,0.0524,3,0.32,0,1.05455
31,41,0,0.32,56,0.0558,4,0.34,1,1.07273
