index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,2,0.00333333,2,0.166667,2,0.722222
1,11,0,0.02,3,0.00425,1,0.175,-1,0.666667
2,12,0,0.03,5,0.0052,2,0.18,1,0.727273
3,13,0,0.04,7,0.007,2,0.18,0,0.701299
4,14,0,0.05,9,0.009,2,0.2,0,0.794805
5,15,0,0.06,11,0.011,2,0.2,0,0.784849
6,16,0,0.07,13,0.013,2,0.2,0,0.848485
7,17,0,0.08,15,0.0152,2,0.22,0,0.854545
8,18,0,0.09,17,0.0174,2,0.22,0,0.836364
9,19,0,0.1,20,0.0198,3,0.24,1,0.745455
10,20,0,0.11,22,0.0222,2,0.24,-1,0.781818
11,21,0,0.12,25,0.0248,3,0.26,1,0.745455
12,22,0,0.13,27,0.0274,2,0.26,-1,0.636364
13,23,0,0.14,30,0.03,3,0.26,1,0.654545
14,24,0,0.15,33,0.0326,3,0.26,0,0.690909
15,25,0,0.16,35,0.0354,2,0.28,-1,0.745455
16,26,0,0.17,38,0.0382,3,0.28,1,0.727273
17,27,0,0.18,41,0.041,3,0.28,0,0.836364
18,28,0,0.19,44,0.044,3,0.3,0,0.872727
19,29,0,0.2,47,0.0472,3,0.32,0,0.836364
20,30,0,0.21,50,0.0504,3,0.32,0,0.818182
21,31,0,0.22,54,0.0536,4,0.32,1,0.818182
22,32,0,0.23,57,0.057,3,0.34,-1,0.745455
23,33,0,0.24,60,0.0604,3,0.34,0,0.690909
24,34,0,0.25,64,0.0638,4,0.34,1,0.654545
25,35,0,0.26,67,0.0674,3,0.36,-1,0.654545
26,36,0,0.27,71,0.071,4,0.36,1,0.690909
27,37,0,0.28,75,0.0746,4,0.36,0,0.745455
28,38,0,0.29,78,0.0784,3,0.38,-1,0.818182
29,39,0,0.3,82,0.0822,4,0.38,1,0.818182
30,40,0,0.31,86,0.086,4,0.38,0,0.836364
31,41,0,0.32,90,0.09,4,0.4,0,0.872727
32,42,0,0.33,94,0.0942,4,0.42,0,0.836364
33,43,0,0.34,98,0.0984,4,0.42,0,0.818182
34,44,0,0.35,103,0.1026,5,0.42,1,0.818182
35,45,0,0.36,107,0.107,4,0.44,-1,0.745455
36,46,0,0.37,111,0.1114,4,0.44,0,0.690909
37,47,0,0.38,116,0.1158,5,0.44,1,0.654545
38,48,0,0.39,120,0.1204,4,0.46,-1,0.654545
39,49,0,0.4,125,0.125,5,0.46,1,0.690909
40,50,0,0.41,130,0.1296,5,0.46,0,0.654545
41,51,0,0.42,134,0.1344,4,0.48,-1,0.745455
42,52,0,0.43,139,0.1392,5,0.48,1,0.763636
43,53,0,0.44,144,0.144,5,0.48,0,0.709091
44,54,0,0.45,149,0.149,5,0.5,0,0.781818
45,55,0,0.46,154,0.154,5,0.5,0,0.781818
46,56,0,0.47,159,0.1592,5,0.52,0,0.709091
47,57,0,0.48,164,0.1644,5,0.52,0,0.763636
48,58,0,0.49,170,0.1696,6,0.52,1,0.836364
49,59,0,0.5,175,0.175,5,0.54,-1,0.727273
50,60,0,0.51,180,0.1804,5,0.54,0,0.745455
51,61,0,0.52,186,0.1858,6,0.54,1,0.690909
52,62,0,0.53,191,0.1914,5,0.56,-1,0.672727
53,63,0,0.54,197,0.1972,6,0.58,1,0.6
54,64,0,0.55,203,0.2028,6,0.56,0,0.654545
55,65,0,0.56,209,0.2086,6,0.58,0,0.727273
56,66,0,0.57,214,0.2144,5,0.58,-1,0.727273
57,67,0,0.58,220,0.2202,6,0.58,1,0.745455
58,68,0,0.59,226,0.226,6,0.58,0,0.781818
59,69,0,0.6,232,0.2322,6,0.62,0,0.945454
60,70,0,0.61,238,0.2384,6,0.62,0,0.927273
61,71,0,0.62,245,0.2446,7,0.62,1,1.01818
62,72,0,0.63,251,0.251,6,0.64,-1,1.01818
63,73,0,0.64,257,0.2574,6,0.64,0,0.927273
64,74,0,0.65,264,0.264,7,0.66,1,0.654545
65,75,0,0.66,270,0.2706,6,0.66,-1,0.618182
66,76,0,0.67,278,0.2774,8,0.68,2,0.527273
67,77,0,0.68,284,0.2842,6,0.68,-2,0.381818
68,78,0,0.69,291,0.291,7,0.68,1,0.472727
69,79,0,0.7,298,0.2976,7,0.66,0,0.490909
70,80,0,0.71,304,0.3044,6,0.68,-1,0.545455
71,81,0,0.72,311,0.3112,7,0.68,1,0.636364
72,82,0,0.73,318,0.318,7,0.68,0,0.763636
73,83,0,0.74,325,0.3252,7,0.72,0,0.836364
74,84,0,0.75,332,0.3324,7,0.72,0,0.854545
75,85,0,0.76,340,0.3396,8,0.72,1,0.8
76,86,0,0.77,347,0.347,7,0.74,-1,0.763636
77,87,0,0.78,354,0.3544,7,0.74,0,0.745455
78,88,0,0.79,362,0.3618,8,0.74,1,0.636364
79,89,0,0.8,369,0.3692,7,0.74,-1,0.745454
80,90,0,0.81,377,0.3768,8,0.76,1,0.781818
81,91,0,0.82,384,0.3844,7,0.76,-1,0.745455
82,92,0,0.83,392,0.3922,8,0.78,1,0.745455
83,93,0,0.84,400,0.4,8,0.78,0,0.690909
84,94,0,0.85,408,0.408,8,0.8,0,0.672727
85,95,0,0.86,416,0.416,8,0.8,0,0.581818
86,96,0,0.87,424,0.424,8,0.8,0,0.618182
87,97,0,0.88,432,0.432,8,0.8,0,0.581818
88,98,0,0.89,440,0.44,8,0.8,0,0.672727
89,99,0,0.9,448,0.4482,8,0.82,0,0.6
90,100,0,0.91,456,0.4564,8,0.82,0,0.672727
91,101,0,0.92,465,0.4648,9,0.84,1,0.690909
92,102,0,0.93,473,0.4732,8,0.84,-1,0.745454
93,103,0,0.94,482,0.4818,9,0.86,1,0.727273
94,104,0,0.95,490,0.4902,8,0.84,-1,0.727273
95,105,0,0.96,499,0.4988,9,0.86,1,0.763636
96,106,0,0.97,507,0.5074,8,0.86,-1,0.733333
97,107,0,0.98,516,0.5162,9,0.88,1,0.807792
98,108,0,0.99,525,0.525,9,0.88,0,0.805195
99,109,0,1,534,0.534,9,0.9,0,0.981818
100,110,0,1.01,543,0.5385,9,0.9,0,1
101,111,0,1.02,552,0.543,9,0.9,0,1.11111
