index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,5,0.00933333,5,0.466667,5,1.55556
1,11,0,0.02,9,0.01175,4,0.475,-1,1.66667
2,12,0,0.03,14,0.0142,5,0.48,1,1.70909
3,13,0,0.04,19,0.019,5,0.48,0,1.88312
4,14,0,0.05,24,0.0242,5,0.52,0,1.88961
5,15,0,0.06,29,0.0296,5,0.54,0,1.8303
6,16,0,0.07,35,0.0352,6,0.56,1,1.72121
7,17,0,0.08,41,0.041,6,0.58,0,1.65455
8,18,0,0.09,47,0.047,6,0.6,0,1.6
9,19,0,0.1,53,0.053,6,0.6,0,1.47273
10,20,0,0.11,59,0.0592,6,0.62,0,1.47273
11,21,0,0.12,65,0.0654,6,0.62,0,1.6
12,22,0,0.13,72,0.0718,7,0.64,1,1.65455
13,23,0,0.14,78,0.0784,6,0.66,-1,1.74545
14,24,0,0.15,85,0.0852,7,0.68,1,1.87273
15,25,0,0.16,92,0.0922,7,0.7,0,1.92727
16,26,0,0.17,99,0.0996,7,0.74,0,1.90909
17,27,0,0.18,107,0.107,8,0.74,1,1.90909
18,28,0,0.19,115,0.1146,8,0.76,0,1.90909
19,29,0,0.2,122,0.1224,7,0.78,-1,1.90909
20,30,0,0.21,130,0.1304,8,0.8,1,1.81818
21,31,0,0.22,138,0.1384,8,0.8,0,1.74545
22,32,0,0.23,147,0.1468,9,0.84,1,1.8
23,33,0,0.24,155,0.1554,8,0.86,-1,1.69091
24,34,0,0.25,164,0.1642,9,0.88,1,1.61818
25,35,0,0.26,173,0.173,9,0.88,0,1.58182
26,36,0,0.27,182,0.182,9,0.9,0,1.58182
27,37,0,0.28,191,0.1912,9,0.92,0,1.50909
28,38,0,0.29,200,0.2004,9,0.92,0,1.56364
29,39,0,0.3,210,0.2098,10,0.94,1,1.65455
30,40,0,0.31,219,0.2194,9,0.96,-1,1.78182
31,41,0,0.32,229,0.2292,10,0.98,1,1.83636
32,42,0,0.33,239,0.2392,10,1,0,1.81818
33,43,0,0.34,249,0.2494,10,1.02,0,1.92727
34,44,0,0.35,260,0.2598,11,1.04,1,1.85455
35,45,0,0.36,270,0.2704,10,1.06,-1,1.8
36,46,0,0.37,281,0.2812,11,1.08,1,1.76364
37,47,0,0.38,292,0.292,11,1.08,0,1.74545
38,48,0,0.39,303,0.3032,11,1.12,0,1.74545
39,49,0,0.4,314,0.3144,11,1.12,0,1.85455
40,50,0,0.41,326,0.3258,12,1.14,1,1.87273
41,51,0,0.42,337,0.3374,11,1.16,-1,1.90909
42,52,0,0.43,349,0.3492,12,1.18,1,1.96364
43,53,0,0.44,361,0.3612,12,1.2,0,1.83636
44,54,0,0.45,373,0.3736,12,1.24,0,1.74545
45,55,0,0.46,386,0.386,13,1.24,1,1.6
46,56,0,0.47,399,0.3986,13,1.26,0,1.49091
47,57,0,0.48,411,0.4114,12,1.28,-1,1.41818
48,58,0,0.49,424,0.4242,13,1.28,1,1.36364
49,59,0,0.5,437,0.437,13,1.28,0,1.3697
50,60,0,0.51,450,0.45,13,1.3,0,1.6039
51,61,0,0.52,463,0.4632,13,1.32,0,1.68831
52,62,0,0.53,476,0.4766,13,1.34,0,1.85455
53,63,0,0.54,490,0.48325,14,1.35,1,2
54,64,0,0.55,504,0.49,14,1.36667,0,2.11111
