index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,3,0.007,3,0.366667,3,2.22222
1,11,0,0.02,7,0.009,4,0.375,1,2
2,12,0,0.03,11,0.011,4,0.38,0,1.89091
3,13,0,0.04,15,0.0152,4,0.42,0,1.61039
4,14,0,0.05,19,0.0194,4,0.42,0,1.47143
5,15,0,0.06,24,0.0238,5,0.44,1,1.28485
6,16,0,0.07,28,0.0282,4,0.44,-1,1.21818
7,17,0,0.08,33,0.0328,5,0.46,1,1.09091
8,18,0,0.09,37,0.0374,4,0.46,-1,1
9,19,0,0.1,42,0.0422,5,0.48,1,1
10,20,0,0.11,47,0.047,5,0.48,0,1
11,21,0,0.12,52,0.052,5,0.5,0,1
12,22,0,0.13,57,0.057,5,0.5,0,1
13,23,0,0.14,62,0.0622,5,0.52,0,1
14,24,0,0.15,67,0.0674,5,0.52,0,1
15,25,0,0.16,73,0.0728,6,0.54,1,1
16,26,0,0.17,78,0.0782,5,0.54,-1,1.09091
17,27,0,0.18,84,0.0838,6,0.56,1,1.16364
18,28,0,0.19,89,0.0894,5,0.56,-1,1.21818
19,29,0,0.2,95,0.0952,6,0.58,1,1.25455
20,30,0,0.21,101,0.101,6,0.58,0,1.27273
21,31,0,0.22,107,0.1072,6,0.62,0,1.27273
22,32,0,0.23,113,0.1134,6,0.62,0,1.25455
23,33,0,0.24,120,0.1198,7,0.64,1,1.21818
24,34,0,0.25,126,0.1262,6,0.64,-1,1.16364
25,35,0,0.26,133,0.1328,7,0.66,1,1.09091
26,36,0,0.27,139,0.1394,6,0.66,-1,1
27,37,0,0.28,146,0.1462,7,0.68,1,1
28,38,0,0.29,153,0.153,7,0.68,0,1
29,40,0,0.3,160,0.16,7,0.7,0,1
30,41,0,0.31,167,0.167,7,0.7,0,1
31,42,0,0.32,174,0.1742,7,0.72,0,0.909091
32,43,0,0.33,181,0.1814,7,0.72,0,0.836364
33,44,0,0.34,189,0.1888,8,0.74,1,0.872727
34,45,0,0.35,196,0.1962,7,0.74,-1,0.909091
35,46,0,0.36,204,0.2038,8,0.76,1,0.945454
36,47,0,0.37,211,0.2112,7,0.74,-1,1.07273
37,47,1,0.38,219,0.2188,8,0.76,1,1.18182
38,48,0,0.39,226,0.2266,7,0.78,-1,1.18182
39,49,0,0.4,234,0.2346,8,0.8,1,1.18182
40,50,0,0.41,243,0.2426,9,0.8,1,1.18182
41,51,0,0.42,251,0.251,8,0.84,-1,1.18182
42,52,0,0.43,259,0.2594,8,0.84,0,1.07273
43,53,0,0.44,268,0.2678,9,0.84,1,0.945454
44,54,0,0.45,276,0.2762,8,0.84,-1,1
45,55,0,0.46,285,0.2848,9,0.86,1,1.03636
46,56,0,0.47,293,0.2934,8,0.86,-1,0.963636
47,57,0,0.48,302,0.3022,9,0.88,1,1.09091
48,58,0,0.49,311,0.311,9,0.88,0,1.21818
49,59,0,0.5,320,0.3202,9,0.92,0,1.14545
50,60,0,0.51,329,0.3294,9,0.92,0,1.07273
51,61,0,0.52,339,0.3386,10,0.92,1,1.09091
52,62,0,0.53,348,0.348,9,0.94,-1,1
53,63,0,0.54,357,0.3576,9,0.96,0,1
54,64,0,0.55,367,0.367,10,0.94,1,0.981818
55,65,0,0.56,377,0.3766,10,0.96,0,1.05455
56,66,0,0.57,386,0.3864,9,0.98,-1,1.07879
57,67,0,0.58,396,0.3962,10,0.98,1,1.0303
58,68,0,0.59,406,0.4062,10,1,0,0.966234
59,69,0,0.6,416,0.4164,10,1.02,0,1.05195
60,70,0,0.61,427,0.4266,11,1.02,1,0.872727
61,71,0,0.62,437,0.43175,10,1.025,-1,0.833333
62,72,0,0.63,447,0.437,10,1.03333,0,0.888889
