index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,2,0.00466667,2,0.233333,2,1
1,11,0,0.02,5,0.006,3,0.25,1,1
2,12,0,0.03,7,0.0072,2,0.24,-1,0.981818
3,13,0,0.04,10,0.0098,3,0.26,1,1.06494
4,14,0,0.05,12,0.0124,2,0.26,-1,1.03247
5,15,0,0.06,15,0.0152,3,0.28,1,1.10909
6,16,0,0.07,18,0.018,3,0.28,0,1.09091
7,17,0,0.08,21,0.021,3,0.3,0,1.16364
8,18,0,0.09,24,0.0242,3,0.32,0,1.10909
9,19,0,0.1,27,0.0274,3,0.32,0,1.14545
10,20,0,0.11,31,0.0308,4,0.34,1,1.07273
11,21,0,0.12,34,0.0342,3,0.34,-1,1.09091
12,22,0,0.13,38,0.0378,4,0.36,1,1
13,23,0,0.14,41,0.0414,3,0.36,-1,1
14,24,0,0.15,45,0.0452,4,0.38,1,1
15,25,0,0.16,49,0.049,4,0.38,0,1
16,26,0,0.17,53,0.053,4,0.4,0,1
17,27,0,0.18,57,0.057,4,0.4,0,1
18,28,0,0.19,61,0.0612,4,0.42,0,1
19,29,0,0.2,65,0.0654,4,0.42,0,1
20,30,0,0.21,70,0.0698,5,0.44,1,1
21,31,0,0.22,74,0.0742,4,0.44,-1,1
22,32,0,0.23,79,0.0788,5,0.46,1,1
23,33,0,0.24,83,0.0834,4,0.46,-1,1
24,34,0,0.25,88,0.0882,5,0.48,1,1
25,35,0,0.26,93,0.093,5,0.48,0,1
26,36,0,0.27,98,0.098,5,0.5,0,1
27,37,0,0.28,103,0.103,5,0.5,0,1
28,38,0,0.29,108,0.1082,5,0.52,0,1
29,39,0,0.3,113,0.1134,5,0.52,0,1
30,40,0,0.31,119,0.1188,6,0.54,1,1
31,41,0,0.32,124,0.1242,5,0.54,-1,1
32,42,0,0.33,130,0.1298,6,0.56,1,1
33,43,0,0.34,135,0.1354,5,0.56,-1,0.909091
34,44,0,0.35,141,0.1412,6,0.58,1,0.927273
35,45,0,0.36,147,0.147,6,0.58,0,0.945454
36,46,0,0.37,153,0.153,6,0.6,0,0.963636
37,47,0,0.38,159,0.159,6,0.6,0,0.981818
38,48,0,0.39,165,0.165,6,0.6,0,1.09091
39,49,0,0.4,171,0.1712,6,0.62,0,1.09091
40,50,0,0.41,177,0.1776,6,0.64,0,1.09091
41,51,0,0.42,184,0.184,7,0.64,1,1.09091
42,52,0,0.43,191,0.1906,7,0.66,0,1.09091
43,53,0,0.44,197,0.1974,6,0.68,-1,1
44,54,0,0.45,204,0.2042,7,0.68,1,0.909091
45,55,0,0.46,211,0.211,7,0.68,0,0.909091
46,56,0,0.47,218,0.218,7,0.7,0,0.909091
47,57,0,0.48,225,0.225,7,0.7,0,0.909091
48,58,0,0.49,232,0.232,7,0.7,0,1
49,59,0,0.5,239,0.2392,7,0.72,0,1.09091
50,60,0,0.51,246,0.2466,7,0.74,0,1.09091
51,61,0,0.52,254,0.254,8,0.74,1,1.09091
52,62,0,0.53,262,0.2616,8,0.76,0,1.09091
53,63,0,0.54,269,0.2694,7,0.78,-1,1
54,64,0,0.55,277,0.2772,8,0.78,1,0.909091
55,65,0,0.56,285,0.285,8,0.78,0,0.818182
56,66,0,0.57,293,0.293,8,0.8,0,0.745455
57,67,0,0.58,301,0.301,8,0.8,0,0.690909
58,68,0,0.59,309,0.309,8,0.8,0,0.745455
59,69,0,0.6,317,0.3172,8,0.82,0,0.818182
60,70,0,0.61,325,0.3254,8,0.82,0,0.909091
61,71,0,0.62,334,0.3336,9,0.82,1,1
62,72,0,0.63,342,0.342,8,0.84,-1,1.09091
63,73,0,0.64,350,0.3506,8,0.86,0,1.09091
64,74,0,0.65,359,0.3592,9,0.86,1,1.09091
65,75,0,0.66,368,0.368,9,0.88,0,1.09091
66,76,0,0.67,377,0.377,9,0.9,0,1.09091
67,77,0,0.68,386,0.386,9,0.9,0,1.07273
68,78,0,0.69,395,0.395,9,0.9,0,1.12727
69,79,0,0.7,404,0.4042,9,0.92,0,1.07273
70,80,0,0.71,413,0.4134,9,0.92,0,1.00606
71,81,0,0.72,423,0.4228,10,0.94,1,0.936364
72,82,0,0.73,432,0.4324,9,0.96,-1,0.879221
73,83,0,0.74,442,0.4422,10,0.98,1,0.714286
74,84,0,0.75,452,0.4518,10,0.96,0,0.436364
75,85,0,0.76,462,0.45675,10,0.975,0,0.333333
76,86,0,0.77,471,0.461667,9,0.966667,-1,0.166667
