index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,7,0.0133333,7,0.666667,7,1.22222
1,11,0,0.02,13,0.0165,6,0.65,-1,1.33333
2,12,0,0.03,20,0.0198,7,0.66,1,1.41818
3,13,0,0.04,26,0.0264,6,0.66,-1,1.64935
4,14,0,0.05,33,0.0334,7,0.7,1,1.69221
5,15,0,0.06,40,0.0404,7,0.7,0,1.75758
6,16,0,0.07,48,0.0478,8,0.74,1,1.84242
7,17,0,0.08,55,0.0554,7,0.76,-1,1.76364
8,18,0,0.09,63,0.0632,8,0.78,1,1.70909
9,19,0,0.1,71,0.071,8,0.78,0,1.58182
10,20,0,0.11,79,0.079,8,0.8,0,1.67273
11,21,0,0.12,87,0.0872,8,0.82,0,1.58182
12,22,0,0.13,95,0.0954,8,0.82,0,1.70909
13,23,0,0.14,104,0.1038,9,0.84,1,1.76364
14,24,0,0.15,112,0.1124,8,0.86,-1,1.85455
15,25,0,0.16,121,0.1214,9,0.9,1,1.78182
16,26,0,0.17,130,0.1304,9,0.9,0,1.83636
17,27,0,0.18,140,0.1398,10,0.94,1,1.81818
18,28,0,0.19,149,0.1492,9,0.94,-1,1.81818
19,29,0,0.2,159,0.1588,10,0.96,1,1.72727
20,30,0,0.21,168,0.1684,9,0.96,-1,1.65455
21,31,0,0.22,178,0.1784,10,1,1,1.70909
22,32,0,0.23,188,0.1884,10,1,0,1.69091
23,33,0,0.24,199,0.1988,11,1.04,1,1.7697
24,34,0,0.25,209,0.2092,10,1.04,-1,1.8303
25,35,0,0.26,220,0.2198,11,1.06,1,1.89091
26,36,0,0.27,230,0.2306,10,1.08,-1,1.74026
27,37,0,0.28,241,0.2416,11,1.1,1,1.89091
28,38,0,0.29,253,0.247,12,1.1,1,1.83333
29,39,0,0.3,264,0.252667,11,1.13333,-1,1.88889
