index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.009,3,0.006,3,0.333333,3,0.411523
1,10,1,0.018,6,0.00775,3,0.361111,0,0.617284
2,10,2,0.027,9,0.0094,3,0.355556,0,0.763187
3,10,3,0.036,13,0.0126,4,0.355556,1,0.962001
4,11,0,0.045,16,0.0158,3,0.355556,-1,1.34359
5,11,1,0.054,19,0.0192,3,0.377778,0,1.50393
6,11,2,0.063,22,0.0226,3,0.377778,0,1.52637
7,11,3,0.072,26,0.0262,4,0.4,1,1.6835
8,13,0,0.081,30,0.03,4,0.422222,0,1.84063
9,14,0,0.09,34,0.0342,4,0.466667,0,1.84063
10,15,0,0.099,38,0.0384,4,0.466667,0,1.79574
11,16,0,0.108,43,0.0426,5,0.466667,1,1.81818
12,17,0,0.117,47,0.047,4,0.488889,-1,1.66106
13,18,0,0.126,51,0.0516,4,0.511111,0,1.45903
14,19,0,0.135,56,0.0562,5,0.511111,1,1.3468
15,20,0,0.144,61,0.061,5,0.533333,0,1.3468
16,21,0,0.153,66,0.066,5,0.555556,0,1.45903
17,22,0,0.162,71,0.071,5,0.555556,0,1.41414
18,23,0,0.171,76,0.076,5,0.555556,0,1.45903
19,24,0,0.18,81,0.0812,5,0.577778,0,1.48148
20,25,0,0.189,86,0.0864,5,0.577778,0,1.59371
21,26,0,0.198,92,0.092,6,0.622222,1,1.54882
22,27,0,0.207,97,0.0976,5,0.622222,-1,1.61616
23,28,0,0.216,104,0.1034,7,0.644444,2,1.66105
24,29,0,0.225,109,0.1092,5,0.644444,-2,1.54882
25,30,0,0.234,115,0.1154,6,0.688889,1,1.41414
26,31,0,0.243,121,0.1214,6,0.666667,0,1.25701
27,32,0,0.252,128,0.1276,7,0.688889,1,1.32435
28,33,0,0.261,134,0.134,6,0.711111,-1,1.25701
29,34,0,0.27,140,0.1404,6,0.711111,0,1.30191
30,35,0,0.279,147,0.1468,7,0.711111,1,1.32435
31,36,0,0.288,153,0.1534,6,0.733333,-1,1.45903
32,37,0,0.297,160,0.1602,7,0.755556,1,1.45903
33,38,0,0.306,167,0.167,7,0.755556,0,1.43659
34,39,0,0.315,174,0.174,7,0.777778,0,1.52637
35,40,0,0.324,181,0.1812,7,0.8,0,1.48148
36,41,0,0.333,188,0.1884,7,0.8,0,1.41414
37,42,0,0.342,196,0.1958,8,0.822222,1,1.32435
38,43,0,0.351,203,0.2032,7,0.822222,-1,1.45903
39,44,0,0.36,211,0.2108,8,0.844444,1,1.43659
40,45,0,0.369,218,0.2184,7,0.844444,-1,1.50393
41,46,0,0.378,226,0.2262,8,0.866667,1,1.54882
42,46,1,0.387,234,0.234,8,0.866667,0,1.57127
43,48,0,0.396,242,0.2422,8,0.911111,0,1.57127
44,49,0,0.405,250,0.2504,8,0.911111,0,1.52637
45,50,0,0.414,259,0.2588,9,0.933333,1,1.47667
46,51,0,0.423,267,0.2672,8,0.933333,-1,1.42697
47,52,0,0.432,276,0.2758,9,0.955556,1,1.3468
48,53,0,0.441,284,0.28,8,0.944444,-1,1.23457
49,54,0,0.45,293,0.284333,9,0.962963,1,1.23457
