index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,3,0.00666667,3,0.333333,3,0.888889
1,11,0,0.02,7,0.0085,4,0.35,1,1
2,12,0,0.03,10,0.0104,3,0.36,-1,1.01818
3,13,0,0.04,14,0.014,4,0.36,1,1.23377
4,14,0,0.05,18,0.0176,4,0.36,0,1.36364
5,15,0,0.06,21,0.0216,3,0.4,-1,1.28485
6,16,0,0.07,25,0.0256,4,0.4,1,1.23636
7,17,0,0.08,30,0.0296,5,0.4,1,1.27273
8,18,0,0.09,34,0.034,4,0.44,-1,1.27273
9,19,0,0.1,38,0.0386,4,0.46,0,1.16364
10,20,0,0.11,43,0.043,5,0.44,1,1.12727
11,21,0,0.12,48,0.0476,5,0.46,0,1.16364
12,22,0,0.13,52,0.0524,4,0.48,-1,1.18182
13,23,0,0.14,57,0.0572,5,0.48,1,1.16364
14,24,0,0.15,62,0.062,5,0.48,0,1.30909
15,25,0,0.16,67,0.0672,5,0.52,0,1.43636
16,26,0,0.17,72,0.0724,5,0.52,0,1.52727
17,27,0,0.18,78,0.0778,6,0.54,1,1.56364
18,28,0,0.19,83,0.0834,5,0.56,-1,1.56364
19,29,0,0.2,89,0.0892,6,0.58,1,1.52727
20,30,0,0.21,95,0.095,6,0.58,0,1.34545
21,31,0,0.22,101,0.1012,6,0.62,0,1.23636
22,32,0,0.23,107,0.1074,6,0.62,0,1.10909
23,33,0,0.24,114,0.1136,7,0.62,1,1.05455
24,34,0,0.25,120,0.12,6,0.64,-1,0.981818
25,35,0,0.26,126,0.1264,6,0.64,0,1
26,36,0,0.27,133,0.1328,7,0.64,1,0.909091
27,37,0,0.28,139,0.1394,6,0.66,-1,1.01818
28,38,0,0.29,146,0.1462,7,0.68,1,1.03636
29,39,0,0.3,153,0.153,7,0.68,0,1.05455
30,40,0,0.31,160,0.16,7,0.7,0,1.16364
31,41,0,0.32,167,0.167,7,0.7,0,1.25455
32,42,0,0.33,174,0.1742,7,0.72,0,1.30909
33,43,0,0.34,181,0.1814,7,0.72,0,1.41818
34,44,0,0.35,189,0.1888,8,0.74,1,1.49091
35,45,0,0.36,196,0.1964,7,0.76,-1,1.52727
36,46,0,0.37,204,0.2042,8,0.78,1,1.52727
37,47,0,0.38,212,0.2122,8,0.8,0,1.4
38,48,0,0.39,220,0.2204,8,0.82,0,1.34545
39,49,0,0.4,229,0.2286,9,0.82,1,1.25455
40,50,0,0.41,237,0.237,8,0.84,-1,1.12727
41,51,0,0.42,245,0.2454,8,0.84,0,1.16364
42,52,0,0.43,254,0.2538,9,0.84,1,1.16364
43,53,0,0.44,262,0.2624,8,0.86,-1,1.14545
44,54,0,0.45,271,0.2712,9,0.88,1,1.21818
45,55,0,0.46,280,0.28,9,0.88,0,1.27273
46,56,0,0.47,289,0.2892,9,0.92,0,1.30909
47,57,0,0.48,298,0.2984,9,0.92,0,1.32727
48,58,0,0.49,308,0.3076,10,0.92,1,1.30909
49,59,0,0.5,317,0.317,9,0.94,-1,1.25455
50,60,0,0.51,326,0.3266,9,0.96,0,1.18182
51,61,0,0.52,336,0.3362,10,0.96,1,1.01818
52,62,0,0.53,346,0.346,10,0.98,0,1.01515
53,63,0,0.54,356,0.356,10,1,0,0.945455
54,64,0,0.55,366,0.366,10,1,0,0.727273
55,65,0,0.56,376,0.376,10,1,0,0.545455
56,66,0,0.57,386,0.381,10,1,0,0.5
57,67,0,0.58,396,0.386,10,1,0,0.277778
