index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,2,0.004,2,0.2,2,1.16667
1,11,0,0.02,4,0.00525,2,0.225,0,1.16667
2,12,0,0.03,6,0.0064,2,0.22,0,1.05455
3,13,0,0.04,9,0.0088,3,0.24,1,0.857143
4,14,0,0.05,11,0.0112,2,0.24,-1,0.85974
5,15,0,0.06,14,0.0138,3,0.26,1,0.772727
6,16,0,0.07,16,0.0164,2,0.26,-1,0.630303
7,17,0,0.08,19,0.019,3,0.26,1,0.654545
8,18,0,0.09,22,0.0216,3,0.26,0,0.690909
9,19,0,0.1,24,0.0244,2,0.28,-1,0.745455
10,20,0,0.11,27,0.0272,3,0.28,1,0.818182
11,21,0,0.12,30,0.03,3,0.28,0,0.909091
12,22,0,0.13,33,0.033,3,0.3,0,1.01818
13,23,0,0.14,36,0.0362,3,0.32,0,1.03636
14,24,0,0.15,39,0.0394,3,0.32,0,0.963636
15,25,0,0.16,43,0.0428,4,0.34,1,0.909091
16,26,0,0.17,46,0.0462,3,0.34,-1,0.872727
17,27,0,0.18,50,0.0498,4,0.36,1,0.745455
18,28,0,0.19,53,0.0534,3,0.36,-1,0.636364
19,29,0,0.2,57,0.057,4,0.36,1,0.654545
20,30,0,0.21,61,0.0606,4,0.36,0,0.6
21,31,0,0.22,64,0.0644,3,0.38,-1,0.581818
22,32,0,0.23,68,0.0682,4,0.38,1,0.6
23,33,0,0.24,72,0.072,4,0.38,0,0.654545
24,34,0,0.25,76,0.076,4,0.4,0,0.745454
25,35,0,0.26,80,0.08,4,0.4,0,0.763636
26,36,0,0.27,84,0.084,4,0.4,0,0.8
27,37,0,0.28,88,0.0882,4,0.42,0,0.854545
28,38,0,0.29,92,0.0924,4,0.42,0,0.836364
29,39,0,0.3,97,0.0968,5,0.44,1,0.745455
30,40,0,0.31,101,0.1012,4,0.44,-1,0.781818
31,41,0,0.32,106,0.1058,5,0.46,1,0.745455
32,42,0,0.33,110,0.1104,4,0.46,-1,0.636364
33,43,0,0.34,115,0.115,5,0.46,1,0.745454
34,44,0,0.35,120,0.1196,5,0.46,0,0.763636
35,45,0,0.36,124,0.1244,4,0.48,-1,0.8
36,46,0,0.37,129,0.1292,5,0.48,1,0.854545
37,47,0,0.38,134,0.134,5,0.48,0,0.927273
38,48,0,0.39,139,0.1392,5,0.52,0,0.927273
39,49,0,0.4,144,0.1444,5,0.52,0,0.854545
40,50,0,0.41,150,0.1496,6,0.52,1,0.8
41,51,0,0.42,155,0.155,5,0.54,-1,0.763636
42,52,0,0.43,160,0.1604,5,0.54,0,0.745455
43,53,0,0.44,166,0.1658,6,0.54,1,0.636364
44,54,0,0.45,171,0.1712,5,0.54,-1,0.745454
45,55,0,0.46,177,0.1768,6,0.56,1,0.781818
46,56,0,0.47,182,0.1824,5,0.56,-1,0.745455
47,57,0,0.48,188,0.1882,6,0.58,1,0.836364
48,58,0,0.49,194,0.194,6,0.58,0,0.854545
49,59,0,0.5,200,0.2,6,0.6,0,0.890909
50,60,0,0.51,206,0.206,6,0.6,0,0.836364
51,61,0,0.52,212,0.212,6,0.6,0,0.890909
52,62,0,0.53,218,0.2182,6,0.62,0,0.763636
53,63,0,0.54,224,0.2244,6,0.62,0,0.763636
54,64,0,0.55,231,0.2308,7,0.64,1,0.690909
55,65,0,0.56,237,0.2372,6,0.64,-1,0.745454
56,66,0,0.57,244,0.2438,7,0.66,1,0.727273
57,67,0,0.58,250,0.2502,6,0.64,-1,0.727273
58,68,0,0.59,257,0.2568,7,0.66,1,0.745455
59,69,0,0.6,263,0.2634,6,0.66,-1,0.690909
60,70,0,0.61,270,0.2702,7,0.68,1,0.763636
61,71,0,0.62,277,0.277,7,0.68,0,0.763636
62,72,0,0.63,284,0.284,7,0.7,0,0.8
63,73,0,0.64,291,0.291,7,0.7,0,0.763636
64,74,0,0.65,298,0.298,7,0.7,0,0.745454
65,75,0,0.66,305,0.3052,7,0.72,0,0.654545
66,76,0,0.67,312,0.3124,7,0.72,0,0.690909
67,77,0,0.68,320,0.3196,8,0.72,1,0.745455
68,78,0,0.69,327,0.327,7,0.74,-1,0.824242
69,79,0,0.7,334,0.3344,7,0.74,0,0.933333
70,80,0,0.71,342,0.3418,8,0.74,1,0.954545
71,81,0,0.72,349,0.3494,7,0.76,-1,1.12987
72,82,0,0.73,357,0.3572,8,0.78,1,1.27273
73,83,0,0.74,365,0.361,8,0.775,0,1.33333
74,84,0,0.75,373,0.365,8,0.8,0,1.44444
