index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,6,0.0126667,6,0.633333,6,1.44444
1,11,0,0.02,13,0.016,7,0.65,1,1.33333
2,12,0,0.03,19,0.0194,6,0.66,-1,1.34545
3,13,0,0.04,26,0.0262,7,0.68,1,1.22078
4,14,0,0.05,33,0.033,7,0.68,0,1.15325
5,15,0,0.06,40,0.04,7,0.7,0,1.20606
6,16,0,0.07,47,0.047,7,0.7,0,1.15152
7,17,0,0.08,54,0.0542,7,0.72,0,1.05455
8,18,0,0.09,61,0.0614,7,0.72,0,1.12727
9,19,0,0.1,69,0.0688,8,0.74,1,1.18182
10,20,0,0.11,76,0.0764,7,0.76,-1,1.12727
11,21,0,0.12,84,0.084,8,0.76,1,1.25455
12,22,0,0.13,92,0.0916,8,0.76,0,1.25455
13,23,0,0.14,99,0.0996,7,0.8,-1,1.23636
14,24,0,0.15,107,0.1076,8,0.8,1,1.2
15,25,0,0.16,116,0.1156,9,0.8,1,1.23636
16,26,0,0.17,124,0.124,8,0.84,-1,1.25455
17,27,0,0.18,132,0.1324,8,0.84,0,1.25455
18,28,0,0.19,141,0.1408,9,0.84,1,1.12727
19,29,0,0.2,149,0.1494,8,0.86,-1,1.18182
20,30,0,0.21,158,0.1582,9,0.88,1,1.12727
21,31,0,0.22,167,0.167,9,0.88,0,1.05455
22,32,0,0.23,176,0.176,9,0.9,0,1.07273
23,33,0,0.24,185,0.185,9,0.9,0,1.09091
24,34,0,0.25,194,0.1942,9,0.92,0,1
25,35,0,0.26,203,0.2034,9,0.92,0,1
26,36,0,0.27,213,0.2128,10,0.94,1,1
27,37,0,0.28,222,0.2222,9,0.94,-1,1.18182
28,38,0,0.29,232,0.2318,10,0.96,1,1.32727
29,39,0,0.3,241,0.2414,9,0.96,-1,1.34545
30,40,0,0.31,251,0.2512,10,0.98,1,1.43636
31,41,0,0.32,261,0.261,10,0.98,0,1.4
32,42,0,0.33,271,0.2714,10,1.04,0,1.25455
33,43,0,0.34,281,0.2818,10,1.04,0,1.10909
34,45,0,0.35,293,0.2922,12,1.04,2,1.05455
35,46,0,0.36,303,0.3028,10,1.06,-2,0.890909
36,47,0,0.37,313,0.3134,10,1.06,0,0.809091
37,47,1,0.38,324,0.3238,11,1.04,1,0.572727
38,48,0,0.39,334,0.3344,10,1.06,-1,0.766234
39,49,0,0.4,345,0.3452,11,1.08,1,0.945455
40,50,0,0.41,356,0.3505,11,1.075,0,1
41,51,0,0.42,367,0.356,11,1.1,0,1.16667
