index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,0,0.000333333,0,0.0333333,0,1.77778
1,11,0,0.02,0,0.0005,0,0.025,0,1.66667
2,12,0,0.03,1,0.0008,1,0.04,1,1.56364
3,13,0,0.04,1,0.0014,0,0.06,-1,1.45455
4,14,0,0.05,2,0.0022,1,0.08,1,1.31558
5,15,0,0.06,3,0.003,1,0.08,0,1.13333
6,16,0,0.07,4,0.004,1,0.1,0,1.08485
7,17,0,0.08,5,0.005,1,0.1,0,0.945454
8,18,0,0.09,6,0.0062,1,0.12,0,0.8
9,19,0,0.1,7,0.0074,1,0.12,0,0.763636
10,20,0,0.11,9,0.0086,2,0.12,1,0.836364
11,21,0,0.12,10,0.01,1,0.14,-1,0.818182
12,22,0,0.13,11,0.0114,1,0.14,0,0.909091
13,23,0,0.14,13,0.0128,2,0.14,1,0.909091
14,24,0,0.15,14,0.0144,1,0.16,-1,0.927273
15,25,0,0.16,16,0.0162,2,0.18,1,0.872727
16,26,0,0.17,18,0.018,2,0.18,0,0.836364
17,27,0,0.18,20,0.02,2,0.2,0,0.818182
18,28,0,0.19,22,0.022,2,0.2,0,0.727273
19,29,0,0.2,24,0.024,2,0.2,0,0.654545
20,30,0,0.21,26,0.026,2,0.2,0,0.690909
21,31,0,0.22,28,0.0282,2,0.22,0,0.654545
22,32,0,0.23,30,0.0304,2,0.22,0,0.654545
23,33,0,0.24,33,0.0326,3,0.22,1,0.781818
24,34,0,0.25,35,0.035,2,0.24,-1,0.836364
25,35,0,0.26,37,0.0376,2,0.26,0,0.818182
26,36,0,0.27,40,0.04,3,0.24,1,0.909091
27,37,0,0.28,43,0.0426,3,0.26,0,1
28,38,0,0.29,45,0.0454,2,0.28,-1,1
29,39,0,0.3,48,0.0482,3,0.28,1,1
30,40,0,0.31,51,0.051,3,0.28,0,1
31,41,0,0.32,54,0.0542,3,0.32,0,0.927273
32,42,0,0.33,57,0.0574,3,0.32,0,0.781818
33,43,0,0.34,61,0.0606,4,0.32,1,0.745455
34,44,0,0.35,64,0.064,3,0.34,-1,0.727273
35,45,0,0.36,67,0.0674,3,0.34,0,0.636364
36,46,0,0.37,71,0.0706,4,0.32,1,0.563636
37,47,0,0.38,74,0.074,3,0.34,-1,0.618182
38,48,0,0.39,77,0.0776,3,0.36,0,0.618182
39,49,0,0.4,81,0.0812,4,0.36,1,0.654545
40,50,0,0.41,85,0.0848,4,0.36,0,0.818182
41,51,0,0.42,89,0.0886,4,0.38,0,0.909091
42,52,0,0.43,92,0.0924,3,0.38,-1,0.909091
43,53,0,0.44,96,0.0962,4,0.38,1,0.909091
44,54,0,0.45,100,0.1002,4,0.4,0,0.927273
45,55,0,0.46,104,0.1044,4,0.42,0,0.872727
46,56,0,0.47,109,0.1086,5,0.42,1,0.836364
47,57,0,0.48,113,0.113,4,0.44,-1,0.818182
48,58,0,0.49,117,0.1174,4,0.44,0,0.818182
49,59,0,0.5,122,0.1218,5,0.44,1,0.727273
50,60,0,0.51,126,0.1262,4,0.44,-1,0.745454
51,61,0,0.52,131,0.1308,5,0.46,1,0.781818
52,62,0,0.53,135,0.1354,4,0.46,-1,0.745455
53,63,0,0.54,140,0.1402,5,0.48,1,0.836364
54,64,0,0.55,145,0.145,5,0.48,0,0.854545
55,65,0,0.56,150,0.15,5,0.5,0,0.8
56,66,0,0.57,155,0.155,5,0.5,0,0.763636
57,67,0,0.58,160,0.16,5,0.5,0,0.745454
58,68,0,0.59,165,0.1652,5,0.52,0,0.654545
59,69,0,0.6,170,0.1704,5,0.52,0,0.690909
60,70,0,0.61,176,0.1756,6,0.52,1,0.745455
61,71,0,0.62,181,0.181,5,0.54,-1,0.818182
62,72,0,0.63,186,0.1864,5,0.54,0,0.909091
63,73,0,0.64,192,0.1918,6,0.54,1,0.909091
64,74,0,0.65,197,0.1974,5,0.56,-1,0.927273
65,75,0,0.66,203,0.2032,6,0.58,1,0.872727
66,76,0,0.67,209,0.209,6,0.58,0,0.836364
67,77,0,0.68,215,0.215,6,0.6,0,0.818182
68,78,0,0.69,221,0.221,6,0.6,0,0.727273
69,79,0,0.7,227,0.227,6,0.6,0,0.654545
70,80,0,0.71,233,0.233,6,0.6,0,0.690909
71,81,0,0.72,239,0.2392,6,0.62,0,0.745455
72,82,0,0.73,245,0.2454,6,0.62,0,0.727273
73,83,0,0.74,252,0.2516,7,0.62,1,0.836364
74,84,0,0.75,258,0.258,6,0.64,-1,0.872727
75,85,0,0.76,264,0.2646,6,0.66,0,0.836364
76,86,0,0.77,271,0.2712,7,0.66,1,0.727273
77,87,0,0.78,278,0.2778,7,0.66,0,0.745455
78,88,0,0.79,285,0.2846,7,0.68,0,0.70303
79,89,0,0.8,291,0.2914,6,0.68,-1,0.572727
80,90,0,0.81,298,0.2982,7,0.68,1,0.498701
81,91,0,0.82,305,0.305,7,0.68,0,0.532468
82,92,0,0.83,312,0.312,7,0.7,0,0.654545
83,93,0,0.84,319,0.3155,7,0.7,0,0.666667
84,94,0,0.85,326,0.319,7,0.7,0,0.833333
