index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,1,0.002,1,0.1,1,0.611111
1,11,0,0.02,2,0.00275,1,0.125,0,0.666667
2,12,0,0.03,3,0.0034,1,0.12,0,0.618182
3,13,0,0.04,5,0.0046,2,0.12,1,0.688312
4,14,0,0.05,6,0.006,1,0.14,-1,0.619481
5,15,0,0.06,7,0.0074,1,0.14,0,0.669697
6,16,0,0.07,9,0.0088,2,0.14,1,0.539394
7,17,0,0.08,10,0.0102,1,0.14,-1,0.581818
8,18,0,0.09,12,0.0118,2,0.16,1,0.563636
9,19,0,0.1,13,0.0134,1,0.16,-1,0.490909
10,20,0,0.11,15,0.0152,2,0.18,1,0.472727
11,21,0,0.12,17,0.0168,2,0.16,0,0.509091
12,22,0,0.13,19,0.0186,2,0.18,0,0.581818
13,23,0,0.14,20,0.0204,1,0.18,-1,0.581818
14,24,0,0.15,22,0.0222,2,0.18,1,0.618182
15,25,0,0.16,24,0.024,2,0.18,0,0.6
16,26,0,0.17,26,0.026,2,0.2,0,0.727273
17,27,0,0.18,28,0.0282,2,0.22,0,0.6
18,28,0,0.19,30,0.0304,2,0.22,0,0.618182
19,29,0,0.2,33,0.0326,3,0.22,1,0.672727
20,30,0,0.21,35,0.0348,2,0.22,-1,0.654545
21,31,0,0.22,37,0.0372,2,0.24,0,0.563636
22,32,0,0.23,39,0.0394,2,0.22,0,0.6
23,33,0,0.24,42,0.0418,3,0.24,1,0.581818
24,34,0,0.25,44,0.0444,2,0.26,-1,0.527273
25,35,0,0.26,47,0.047,3,0.26,1,0.527273
26,36,0,0.27,50,0.0496,3,0.26,0,0.472727
27,37,0,0.28,52,0.0524,2,0.28,-1,0.472727
28,38,0,0.29,55,0.055,3,0.26,1,0.418182
29,39,0,0.3,58,0.0576,3,0.26,0,0.4
30,40,0,0.31,60,0.0604,2,0.28,-1,0.436364
31,41,0,0.32,63,0.0632,3,0.28,1,0.527273
32,42,0,0.33,66,0.066,3,0.28,0,0.563636
33,43,0,0.34,69,0.069,3,0.3,0,0.654545
34,44,0,0.35,72,0.072,3,0.3,0,0.690909
