index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,1,0.00133333,1,0.0666667,1,0.666667
1,11,0,0.02,1,0.0015,0,0.05,-1,0.666667
2,12,0,0.03,2,0.0018,1,0.06,1,0.545455
3,13,0,0.04,2,0.0024,0,0.06,-1,0.558442
4,14,0,0.05,3,0.0032,1,0.08,1,0.579221
5,15,0,0.06,4,0.004,1,0.08,0,0.527273
6,16,0,0.07,5,0.005,1,0.1,0,0.50303
7,17,0,0.08,6,0.0058,1,0.08,0,0.6
8,18,0,0.09,7,0.0068,1,0.1,0,0.563636
9,19,0,0.1,7,0.0078,0,0.1,-1,0.472727
10,20,0,0.11,9,0.0088,2,0.1,2,0.527273
11,21,0,0.12,10,0.0098,1,0.1,-1,0.527273
12,22,0,0.13,11,0.0112,1,0.14,0,0.581818
13,23,0,0.14,12,0.0124,1,0.12,0,0.581818
14,24,0,0.15,14,0.0136,2,0.12,1,0.618182
15,25,0,0.16,15,0.015,1,0.14,-1,0.6
16,26,0,0.17,16,0.0164,1,0.14,0,0.618182
17,27,0,0.18,18,0.0178,2,0.14,1,0.563636
18,28,0,0.19,19,0.0194,1,0.16,-1,0.654545
19,29,0,0.2,21,0.021,2,0.16,1,0.690909
20,30,0,0.21,23,0.0226,2,0.16,0,0.654545
21,31,0,0.22,24,0.0244,1,0.18,-1,0.654545
22,32,0,0.23,26,0.0262,2,0.18,1,0.6
23,33,0,0.24,28,0.028,2,0.18,0,0.490909
24,34,0,0.25,30,0.03,2,0.2,0,0.527273
25,35,0,0.26,32,0.032,2,0.2,0,0.509091
26,36,0,0.27,34,0.034,2,0.2,0,0.436364
27,37,0,0.28,36,0.036,2,0.2,0,0.509091
28,38,0,0.29,38,0.038,2,0.2,0,0.527273
29,39,0,0.3,40,0.0402,2,0.22,0,0.490909
30,40,0,0.31,42,0.0424,2,0.22,0,0.509091
31,41,0,0.32,45,0.0446,3,0.22,1,0.581818
32,42,0,0.33,47,0.047,2,0.24,-1,0.6
33,43,0,0.34,49,0.0494,2,0.24,0,0.563636
