index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,4,0.00733333,4,0.366667,4,1.55556
1,11,0,0.02,7,0.00925,3,0.375,-1,1.5
2,12,0,0.03,11,0.0112,4,0.38,1,1.49091
3,13,0,0.04,15,0.0152,4,0.4,0,1.23377
4,14,0,0.05,19,0.0194,4,0.42,0,1.2026
5,15,0,0.06,24,0.0236,5,0.42,1,1.19394
6,16,0,0.07,28,0.028,4,0.44,-1,1.10909
7,17,0,0.08,32,0.0326,4,0.46,0,0.981818
8,18,0,0.09,37,0.037,5,0.44,1,0.909091
9,19,0,0.1,42,0.0416,5,0.46,0,0.927273
10,20,0,0.11,46,0.0464,4,0.48,-1,0.945455
11,21,0,0.12,51,0.0512,5,0.48,1,0.963636
12,22,0,0.13,56,0.056,5,0.48,0,0.981818
13,23,0,0.14,61,0.061,5,0.5,0,1.10909
14,24,0,0.15,66,0.0662,5,0.52,0,1.03636
15,25,0,0.16,71,0.0714,5,0.52,0,0.963636
16,26,0,0.17,77,0.0768,6,0.54,1,1
17,27,0,0.18,82,0.0822,5,0.54,-1,1.03636
18,28,0,0.19,88,0.0878,6,0.56,1,0.963636
19,29,0,0.2,93,0.0934,5,0.56,-1,0.890909
20,30,0,0.21,99,0.099,6,0.56,1,1.01818
21,31,0,0.22,105,0.1048,6,0.58,0,0.945454
22,32,0,0.23,110,0.1108,5,0.6,-1,0.981818
23,33,0,0.24,117,0.1168,7,0.6,2,0.927273
24,34,0,0.25,123,0.1228,6,0.6,-1,0.981818
25,35,0,0.26,129,0.1292,6,0.64,0,0.945454
26,36,0,0.27,135,0.1354,6,0.62,0,0.909091
27,37,0,0.28,142,0.1418,7,0.64,1,0.872727
28,38,0,0.29,148,0.1482,6,0.64,-1,0.945454
29,39,0,0.3,155,0.1548,7,0.66,1,1.01818
30,40,0,0.31,161,0.1614,6,0.66,-1,1.07273
31,41,0,0.32,168,0.1682,7,0.68,1,1.21818
32,42,0,0.33,175,0.175,7,0.68,0,1.16364
33,43,0,0.34,182,0.182,7,0.7,0,1.2
34,44,0,0.35,189,0.1892,7,0.72,0,1.12727
35,45,0,0.36,196,0.1966,7,0.74,0,1.05455
36,47,0,0.37,204,0.204,8,0.74,1,0.981818
37,47,1,0.38,212,0.2114,8,0.74,0,1
38,48,0,0.39,219,0.219,7,0.76,-1,0.909091
39,49,0,0.4,226,0.2266,7,0.76,0,0.818182
40,50,0,0.41,234,0.2342,8,0.76,1,0.745455
41,51,0,0.42,242,0.242,8,0.78,0,0.8
42,52,0,0.43,250,0.25,8,0.8,0,0.781818
43,53,0,0.44,258,0.258,8,0.8,0,0.781818
44,54,0,0.45,266,0.266,8,0.8,0,0.890909
45,55,0,0.46,274,0.274,8,0.8,0,1
46,56,0,0.47,282,0.2822,8,0.82,0,1
47,57,0,0.48,290,0.2904,8,0.82,0,1.09091
48,58,0,0.49,299,0.2988,9,0.84,1,1.18182
49,59,0,0.5,307,0.3074,8,0.86,-1,1.18182
50,60,0,0.51,316,0.3162,9,0.88,1,1.09091
51,61,0,0.52,325,0.325,9,0.88,0,1
52,62,0,0.53,334,0.334,9,0.9,0,0.909091
53,63,0,0.54,343,0.343,9,0.9,0,0.818182
54,64,0,0.55,352,0.352,9,0.9,0,0.818182
55,65,0,0.56,361,0.361,9,0.9,0,0.818182
56,66,0,0.57,370,0.3702,9,0.92,0,0.812121
57,67,0,0.58,379,0.3794,9,0.92,0,0.815152
58,68,0,0.59,389,0.3888,10,0.94,1,0.836364
59,69,0,0.6,398,0.3984,9,0.96,-1,0.779221
60,70,0,0.61,408,0.408,10,0.96,1,0.690909
61,71,0,0.62,418,0.41275,10,0.95,0,0.666667
62,72,0,0.63,427,0.417667,9,0.966667,-1,0.611111
