index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00944444,2,0.00433333,2,0.247059,2,0.249135
1,10,1,0.0188889,4,0.0055,2,0.238235,0,0.373702
2,10,2,0.0283333,7,0.0066,3,0.232941,1,0.366908
3,10,3,0.0377778,9,0.0088,2,0.232941,-1,0.553274
4,11,0,0.0472222,11,0.0112,2,0.254118,0,0.535802
5,11,1,0.0566667,13,0.0134,2,0.232941,0,0.625102
6,11,2,0.0661111,16,0.0158,3,0.254118,1,0.720226
7,11,3,0.0755556,18,0.0182,2,0.254118,-1,0.876502
8,13,0,0.085,21,0.0208,3,0.275294,1,0.937653
9,14,0,0.0944444,23,0.0234,2,0.275294,-1,0.91727
10,15,0,0.103889,26,0.0262,3,0.296471,1,0.937653
11,16,0,0.113333,29,0.029,3,0.296471,0,0.876502
12,17,0,0.122778,32,0.032,3,0.317647,0,0.835735
13,18,0,0.132222,35,0.035,3,0.317647,0,0.815351
14,19,0,0.141667,38,0.038,3,0.317647,0,0.815351
15,20,0,0.151111,41,0.041,3,0.317647,0,0.835735
16,21,0,0.160556,44,0.0442,3,0.338824,0,0.876502
17,22,0,0.17,47,0.0474,3,0.338824,0,0.835734
18,23,0,0.179444,51,0.0508,4,0.36,1,0.835734
19,24,0,0.188889,54,0.0542,3,0.36,-1,0.876502
20,25,0,0.198333,58,0.0578,4,0.381176,1,0.835735
21,26,0,0.207778,61,0.0614,3,0.381176,-1,0.713432
22,27,0,0.217222,65,0.065,4,0.381176,1,0.733816
23,28,0,0.226667,69,0.0686,4,0.381176,0,0.774583
24,29,0,0.236111,72,0.0724,3,0.402353,-1,0.835734
25,30,0,0.245556,76,0.0762,4,0.402353,1,0.815351
26,31,0,0.255,80,0.08,4,0.402353,0,0.937653
27,32,0,0.264444,84,0.084,4,0.423529,0,0.978421
28,33,0,0.273889,88,0.0882,4,0.444706,0,0.937653
29,34,0,0.283333,92,0.0924,4,0.444706,0,0.91727
30,35,0,0.292778,97,0.0966,5,0.444706,1,0.91727
