index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,2,0.00433333,2,0.233333,2,0.944444
1,11,0,0.02,4,0.0055,2,0.225,0,1
2,12,0,0.03,7,0.0068,3,0.24,1,1.12727
3,13,0,0.04,9,0.0092,2,0.24,-1,1.28571
4,14,0,0.05,12,0.0118,3,0.26,1,1.28961
5,15,0,0.06,14,0.0144,2,0.26,-1,1.28788
6,16,0,0.07,17,0.0172,3,0.28,1,1.38182
7,17,0,0.08,20,0.0202,3,0.3,0,1.34545
8,18,0,0.09,23,0.0234,3,0.32,0,1.4
9,19,0,0.1,27,0.0266,4,0.32,1,1.41818
10,20,0,0.11,30,0.03,3,0.34,-1,1.4
11,21,0,0.12,33,0.0336,3,0.36,0,1.25455
12,22,0,0.13,37,0.0372,4,0.36,1,1.09091
13,23,0,0.14,41,0.041,4,0.38,0,1.01818
14,24,0,0.15,45,0.045,4,0.4,0,1.03636
15,25,0,0.16,49,0.049,4,0.4,0,0.945454
16,26,0,0.17,53,0.053,4,0.4,0,0.945454
17,27,0,0.18,57,0.057,4,0.4,0,1.03636
18,28,0,0.19,61,0.0612,4,0.42,0,1.01818
19,29,0,0.2,65,0.0656,4,0.44,0,1.09091
20,30,0,0.21,70,0.07,5,0.44,1,1.25455
21,31,0,0.22,75,0.0746,5,0.46,0,1.30909
22,32,0,0.23,79,0.0794,4,0.48,-1,1.34545
23,33,0,0.24,84,0.0842,5,0.48,1,1.34545
24,34,0,0.25,89,0.0892,5,0.5,0,1.21818
25,35,0,0.26,94,0.0944,5,0.52,0,1.18182
26,36,0,0.27,100,0.0996,6,0.52,1,1.21818
27,37,0,0.28,105,0.105,5,0.54,-1,1.21818
28,38,0,0.29,110,0.1106,5,0.56,0,1.2
29,39,0,0.3,116,0.116,6,0.54,1,1.16364
30,40,0,0.31,122,0.1216,6,0.56,0,1.2
31,41,0,0.32,127,0.1276,5,0.6,-1,1.21818
32,42,0,0.33,133,0.1336,6,0.6,1,1.12727
33,43,0,0.34,140,0.1396,7,0.6,1,1.12727
34,44,0,0.35,146,0.1458,6,0.62,-1,1.21818
35,45,0,0.36,152,0.1522,6,0.64,0,1.09091
36,46,0,0.37,158,0.1586,6,0.64,0,1.03636
37,47,0,0.38,165,0.165,7,0.64,1,1.16364
38,48,0,0.39,172,0.1716,7,0.66,0,1.18182
39,49,0,0.4,178,0.1784,6,0.68,-1,1.18182
40,50,0,0.41,185,0.1852,7,0.68,1,1.25455
41,51,0,0.42,192,0.1922,7,0.7,0,1.30909
42,52,0,0.43,199,0.1994,7,0.72,0,1.25455
43,53,0,0.44,207,0.2066,8,0.72,1,1.16364
44,54,0,0.45,214,0.214,7,0.74,-1,1.04242
45,55,0,0.46,221,0.2216,7,0.76,0,0.901299
46,56,0,0.47,229,0.2292,8,0.76,1,0.61039
47,57,0,0.48,237,0.2368,8,0.76,0,0.545455
48,58,0,0.49,245,0.24075,8,0.775,0,0.5
49,59,0,0.5,252,0.244667,7,0.766667,-1,0.444444
