index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,2,0.00466667,2,0.233333,2,0.555556
1,11,0,0.02,5,0.00575,3,0.225,1,0.666667
2,12,0,0.03,7,0.007,2,0.24,-1,0.727273
3,13,0,0.04,9,0.0094,2,0.24,0,0.909091
4,14,0,0.05,12,0.0118,3,0.24,1,0.911688
5,15,0,0.06,14,0.0144,2,0.26,-1,0.921212
6,16,0,0.07,17,0.0172,3,0.28,1,0.866667
7,17,0,0.08,20,0.02,3,0.28,0,0.836364
8,18,0,0.09,23,0.023,3,0.3,0,0.818182
9,19,0,0.1,26,0.026,3,0.3,0,0.727273
10,20,0,0.11,29,0.029,3,0.3,0,0.654545
11,21,0,0.12,32,0.032,3,0.3,0,0.6
12,22,0,0.13,35,0.0352,3,0.32,0,0.581818
13,23,0,0.14,38,0.0384,3,0.32,0,0.509091
14,24,0,0.15,42,0.0416,4,0.32,1,0.581818
15,25,0,0.16,45,0.045,3,0.34,-1,0.6
16,26,0,0.17,48,0.0484,3,0.34,0,0.654545
17,27,0,0.18,52,0.0518,4,0.34,1,0.636364
18,28,0,0.19,55,0.0552,3,0.34,-1,0.745454
19,29,0,0.2,59,0.0588,4,0.36,1,0.781818
20,30,0,0.21,62,0.0624,3,0.36,-1,0.745455
21,31,0,0.22,66,0.0662,4,0.38,1,0.836364
22,32,0,0.23,70,0.07,4,0.38,0,0.854545
23,33,0,0.24,74,0.074,4,0.4,0,0.8
24,34,0,0.25,78,0.078,4,0.4,0,0.763636
25,35,0,0.26,82,0.082,4,0.4,0,0.745454
26,36,0,0.27,86,0.0862,4,0.42,0,0.654545
27,37,0,0.28,90,0.0904,4,0.42,0,0.690909
28,38,0,0.29,95,0.0946,5,0.42,1,0.654545
29,39,0,0.3,99,0.099,4,0.44,-1,0.654545
30,40,0,0.31,103,0.1034,4,0.44,0,0.690909
31,41,0,0.32,108,0.1078,5,0.44,1,0.654545
32,42,0,0.33,112,0.1124,4,0.46,-1,0.654545
33,43,0,0.34,117,0.117,5,0.46,1,0.690909
34,44,0,0.35,122,0.1216,5,0.46,0,0.745455
35,45,0,0.36,126,0.1264,4,0.48,-1,0.818182
36,46,0,0.37,131,0.1312,5,0.48,1,0.818182
37,47,0,0.38,136,0.136,5,0.48,0,0.836364
38,48,0,0.39,141,0.141,5,0.5,0,0.872727
39,49,0,0.4,146,0.1462,5,0.52,0,0.836364
40,50,0,0.41,151,0.1514,5,0.52,0,0.727273
41,51,0,0.42,157,0.1566,6,0.52,1,0.745455
42,52,0,0.43,162,0.162,5,0.54,-1,0.690909
43,53,0,0.44,167,0.1674,5,0.54,0,0.563636
44,54,0,0.45,173,0.1728,6,0.54,1,0.472727
45,55,0,0.46,178,0.1782,5,0.54,-1,0.527273
46,56,0,0.47,184,0.1838,6,0.56,1,0.527273
47,57,0,0.48,189,0.1894,5,0.56,-1,0.472727
48,58,0,0.49,195,0.195,6,0.56,1,0.563636
49,59,0,0.5,201,0.2006,6,0.56,0,0.6
50,60,0,0.51,206,0.2064,5,0.58,-1,0.672727
51,61,0,0.52,212,0.2122,6,0.58,1,0.672727
52,62,0,0.53,218,0.218,6,0.58,0,0.8
53,63,0,0.54,224,0.224,6,0.6,0,0.854545
54,64,0,0.55,230,0.23,6,0.6,0,0.927273
55,65,0,0.56,236,0.2362,6,0.62,0,0.818182
56,66,0,0.57,242,0.2424,6,0.62,0,0.836364
57,67,0,0.58,249,0.2488,7,0.64,1,0.781818
58,68,0,0.59,255,0.2552,6,0.64,-1,0.745454
59,69,0,0.6,262,0.2618,7,0.66,1,0.727273
60,70,0,0.61,268,0.2682,6,0.64,-1,0.727273
61,71,0,0.62,275,0.2748,7,0.66,1,0.745455
62,72,0,0.63,281,0.2814,6,0.66,-1,0.690909
63,73,0,0.64,288,0.2882,7,0.68,1,0.672727
64,74,0,0.65,295,0.295,7,0.68,0,0.6
65,75,0,0.66,302,0.302,7,0.7,0,0.581818
66,76,0,0.67,309,0.309,7,0.7,0,0.418182
67,77,0,0.68,316,0.316,7,0.7,0,0.4
68,78,0,0.69,323,0.323,7,0.7,0,0.327273
69,79,0,0.7,330,0.33,7,0.7,0,0.4
70,80,0,0.71,337,0.337,7,0.7,0,0.418182
71,81,0,0.72,344,0.344,7,0.7,0,0.581818
72,82,0,0.73,351,0.3512,7,0.72,0,0.690909
73,83,0,0.74,358,0.3584,7,0.72,0,0.836364
74,84,0,0.75,366,0.3658,8,0.74,1,0.909091
75,85,0,0.76,373,0.3732,7,0.74,-1,1
76,86,0,0.77,381,0.3808,8,0.76,1,1
77,87,0,0.78,388,0.3884,7,0.76,-1,0.909091
78,88,0,0.79,396,0.3962,8,0.78,1,0.860606
79,89,0,0.8,404,0.404,8,0.78,0,0.742424
80,90,0,0.81,412,0.412,8,0.8,0,0.709091
81,91,0,0.82,420,0.42,8,0.8,0,0.545455
82,92,0,0.83,428,0.428,8,0.8,0,0.436364
83,93,0,0.84,436,0.432,8,0.8,0,0.333333
84,94,0,0.85,444,0.436,8,0.8,0,0.277778
