index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,4,0.00833333,4,0.433333,4,0.944444
1,11,0,0.02,8,0.0105,4,0.425,0,1.16667
2,12,0,0.03,13,0.0128,5,0.44,1,1.23636
3,13,0,0.04,17,0.0172,4,0.44,-1,1.46753
4,14,0,0.05,22,0.0218,5,0.46,1,1.61688
5,15,0,0.06,26,0.0264,4,0.46,-1,1.72424
6,16,0,0.07,31,0.0314,5,0.5,1,1.75758
7,17,0,0.08,36,0.0364,5,0.5,0,1.78182
8,18,0,0.09,42,0.0418,6,0.54,1,1.76364
9,19,0,0.1,47,0.0474,5,0.56,-1,1.69091
10,20,0,0.11,53,0.0532,6,0.58,1,1.65455
11,21,0,0.12,59,0.059,6,0.58,0,1.63636
12,22,0,0.13,65,0.065,6,0.6,0,1.72727
13,23,0,0.14,71,0.071,6,0.6,0,1.72727
14,24,0,0.15,77,0.0772,6,0.62,0,1.83636
15,25,0,0.16,83,0.0836,6,0.64,0,1.96364
16,26,0,0.17,90,0.0904,7,0.68,1,1.92727
17,27,0,0.18,97,0.0974,7,0.7,0,1.83636
18,28,0,0.19,105,0.1046,8,0.72,1,1.78182
19,29,0,0.2,112,0.112,7,0.74,-1,1.65455
20,30,0,0.21,119,0.1196,7,0.76,0,1.45455
21,31,0,0.22,127,0.127,8,0.74,1,1.38182
22,32,0,0.23,135,0.1346,8,0.76,0,1.43636
23,33,0,0.24,142,0.1424,7,0.78,-1,1.52727
24,34,0,0.25,150,0.1504,8,0.8,1,1.56364
25,35,0,0.26,158,0.1584,8,0.8,0,1.74545
26,36,0,0.27,167,0.1668,9,0.84,1,1.87273
27,37,0,0.28,175,0.1754,8,0.86,-1,1.83636
28,38,0,0.29,184,0.1842,9,0.88,1,1.81818
29,39,0,0.3,193,0.193,9,0.88,0,1.81818
30,40,0,0.31,202,0.2022,9,0.92,0,1.83636
31,41,0,0.32,211,0.2114,9,0.92,0,1.76364
32,42,0,0.33,221,0.2208,10,0.94,1,1.8
33,43,0,0.34,230,0.2304,9,0.96,-1,1.85455
34,44,0,0.35,240,0.2402,10,0.98,1,1.92727
35,45,0,0.36,250,0.2502,10,1,0,1.81818
36,46,0,0.37,260,0.2604,10,1.02,0,1.83636
37,47,0,0.38,271,0.2708,11,1.04,1,1.69091
38,48,0,0.39,281,0.2814,10,1.06,-1,1.58182
39,49,0,0.4,292,0.2922,11,1.08,1,1.50909
40,50,0,0.41,303,0.303,11,1.08,0,1.47273
41,51,0,0.42,314,0.314,11,1.1,0,1.47273
42,52,0,0.43,325,0.325,11,1.1,0,1.6
43,53,0,0.44,336,0.3362,11,1.12,0,1.65455
44,54,0,0.45,347,0.3476,11,1.14,0,1.74545
45,55,0,0.46,359,0.3592,12,1.16,1,1.87273
46,56,0,0.47,371,0.371,12,1.18,0,1.92727
47,57,0,0.48,383,0.3832,12,1.22,0,1.90909
48,58,0,0.49,395,0.3954,12,1.22,0,1.90909
49,59,0,0.5,408,0.4078,13,1.24,1,1.88485
50,60,0,0.51,420,0.4204,12,1.26,-1,1.86667
51,61,0,0.52,433,0.4332,13,1.28,1,1.87143
52,62,0,0.53,446,0.446,13,1.28,0,1.88312
53,63,0,0.54,459,0.4592,13,1.32,0,2.10909
54,64,0,0.55,472,0.46575,13,1.325,0,2.16667
55,65,0,0.56,486,0.472333,14,1.33333,1,2.22222
