index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,5,0.00966667,5,0.466667,5,0.888889
1,11,0,0.02,10,0.012,5,0.475,0,0.833333
2,12,0,0.03,14,0.0144,4,0.48,-1,0.872727
3,13,0,0.04,19,0.0192,5,0.48,1,0.961039
4,14,0,0.05,24,0.0242,5,0.5,0,0.893507
5,15,0,0.06,29,0.0294,5,0.52,0,0.884848
6,16,0,0.07,35,0.0346,6,0.52,1,0.878788
7,17,0,0.08,40,0.04,5,0.54,-1,0.818182
8,18,0,0.09,45,0.0454,5,0.54,0,0.727273
9,19,0,0.1,51,0.0508,6,0.54,1,0.654545
10,20,0,0.11,56,0.0562,5,0.54,-1,0.690909
11,21,0,0.12,62,0.0618,6,0.56,1,0.745455
12,22,0,0.13,67,0.0674,5,0.56,-1,0.727273
13,23,0,0.14,73,0.073,6,0.56,1,0.836364
14,24,0,0.15,79,0.0788,6,0.58,0,0.781818
15,25,0,0.16,84,0.0848,5,0.6,-1,0.763636
16,26,0,0.17,91,0.0908,7,0.6,2,0.672727
17,27,0,0.18,97,0.0968,6,0.6,-1,0.618182
18,28,0,0.19,103,0.103,6,0.62,0,0.6
19,29,0,0.2,109,0.109,6,0.6,0,0.509091
20,30,0,0.21,115,0.1152,6,0.62,0,0.454545
21,31,0,0.22,121,0.1214,6,0.62,0,0.545455
22,32,0,0.23,128,0.1276,7,0.62,1,0.672727
23,33,0,0.24,134,0.134,6,0.64,-1,0.636364
24,34,0,0.25,140,0.1404,6,0.64,0,0.836364
25,35,0,0.26,147,0.1468,7,0.64,1,0.854545
26,36,0,0.27,153,0.1534,6,0.66,-1,0.890909
27,37,0,0.28,160,0.1602,7,0.68,1,0.854545
28,38,0,0.29,167,0.1668,7,0.66,0,0.836364
29,39,0,0.3,174,0.1738,7,0.7,0,0.836364
30,40,0,0.31,180,0.1808,6,0.7,-1,0.763636
31,41,0,0.32,188,0.1878,8,0.7,2,0.618182
32,42,0,0.33,195,0.1948,7,0.7,-1,0.6
33,43,0,0.34,202,0.202,7,0.72,0,0.618182
34,44,0,0.35,209,0.2092,7,0.72,0,0.472727
35,45,0,0.36,216,0.2164,7,0.72,0,0.563636
36,46,0,0.37,224,0.2236,8,0.72,1,0.690909
37,47,0,0.38,231,0.231,7,0.74,-1,0.654545
38,48,0,0.39,238,0.2384,7,0.74,0,0.654545
39,49,0,0.4,246,0.2458,8,0.74,1,0.690909
40,50,0,0.41,253,0.2534,7,0.76,-1,0.763636
41,51,0,0.42,261,0.2612,8,0.78,1,0.763636
42,52,0,0.43,269,0.2688,8,0.76,0,0.781818
43,53,0,0.44,277,0.2766,8,0.78,0,0.818182
44,54,0,0.45,284,0.2844,7,0.78,-1,0.872727
45,55,0,0.46,292,0.2924,8,0.8,1,0.745455
46,56,0,0.47,300,0.3004,8,0.8,0,0.745454
47,57,0,0.48,309,0.3086,9,0.82,1,0.781818
48,58,0,0.49,317,0.3168,8,0.82,-1,0.745455
49,59,0,0.5,325,0.3252,8,0.84,0,0.636364
50,60,0,0.51,333,0.3334,8,0.82,0,0.509091
51,61,0,0.52,342,0.3418,9,0.84,1,0.409091
52,62,0,0.53,350,0.3502,8,0.84,-1,0.316883
53,63,0,0.54,359,0.3588,9,0.86,1,0.207792
54,64,0,0.55,367,0.3672,8,0.84,-1,0
55,65,0,0.56,376,0.3715,9,0.85,1,0
56,66,0,0.57,384,0.375667,8,0.833333,-1,-0.166667
