index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,3,0.00566667,3,0.266667,3,1.44444
1,11,0,0.02,6,0.007,3,0.275,0,1.33333
2,12,0,0.03,8,0.0084,2,0.28,-1,1.30909
3,13,0,0.04,11,0.0114,3,0.3,1,1.22078
4,14,0,0.05,14,0.0144,3,0.3,0,1.2974
5,15,0,0.06,18,0.0178,4,0.34,1,1.29697
6,16,0,0.07,21,0.0212,3,0.34,-1,1.29697
7,17,0,0.08,25,0.0248,4,0.36,1,1.21818
8,18,0,0.09,28,0.0284,3,0.36,-1,1.16364
9,19,0,0.1,32,0.0322,4,0.38,1,1.09091
10,20,0,0.11,36,0.036,4,0.38,0,0.909091
11,21,0,0.12,40,0.04,4,0.4,0,0.927273
12,22,0,0.13,44,0.044,4,0.4,0,0.945454
13,23,0,0.14,48,0.0482,4,0.42,0,0.963636
14,24,0,0.15,52,0.0524,4,0.42,0,0.981818
15,25,0,0.16,57,0.0566,5,0.42,1,1.09091
16,26,0,0.17,61,0.061,4,0.44,-1,1.09091
17,27,0,0.18,65,0.0656,4,0.46,0,1.09091
18,28,0,0.19,70,0.0702,5,0.46,1,1.09091
19,29,0,0.2,75,0.075,5,0.48,0,1.09091
20,30,0,0.21,80,0.08,5,0.5,0,1.09091
21,31,0,0.22,85,0.085,5,0.5,0,1.07273
22,32,0,0.23,90,0.09,5,0.5,0,1.03636
23,33,0,0.24,95,0.0952,5,0.52,0,1
24,34,0,0.25,100,0.1004,5,0.52,0,0.963636
25,35,0,0.26,106,0.1058,6,0.54,1,1.01818
26,36,0,0.27,111,0.1114,5,0.56,-1,1.07273
27,37,0,0.28,117,0.117,6,0.56,1,1.12727
28,38,0,0.29,123,0.1226,6,0.56,0,1.16364
29,39,0,0.3,128,0.1284,5,0.58,-1,1.18182
30,40,0,0.31,134,0.1344,6,0.6,1,1.09091
31,41,0,0.32,140,0.1404,6,0.6,0,1.09091
32,42,0,0.33,147,0.1466,7,0.62,1,1.18182
33,43,0,0.34,153,0.153,6,0.64,-1,1.16364
34,44,0,0.35,159,0.1594,6,0.64,0,1.12727
35,45,0,0.36,166,0.1658,7,0.64,1,1.07273
36,46,0,0.37,172,0.1724,6,0.66,-1,1.01818
37,47,0,0.38,179,0.1792,7,0.68,1,0.963636
38,48,0,0.39,186,0.186,7,0.68,0,0.909091
39,49,0,0.4,193,0.193,7,0.7,0,0.963636
40,50,0,0.41,200,0.2,7,0.7,0,1.01818
41,51,0,0.42,207,0.207,7,0.7,0,1.05455
42,52,0,0.43,214,0.2142,7,0.72,0,1.07273
43,53,0,0.44,221,0.2214,7,0.72,0,1.18182
44,54,0,0.45,229,0.2288,8,0.74,1,1.18182
45,55,0,0.46,236,0.2364,7,0.76,-1,1.18182
46,56,0,0.47,244,0.2442,8,0.78,1,1.18182
47,57,0,0.48,252,0.252,8,0.78,0,1.07273
48,58,0,0.49,260,0.26,8,0.8,0,1.05455
49,59,0,0.5,268,0.268,8,0.8,0,0.927273
50,60,0,0.51,276,0.276,8,0.8,0,0.890909
51,61,0,0.52,284,0.2842,8,0.82,0,0.854545
52,62,0,0.53,292,0.2924,8,0.82,0,0.927273
53,63,0,0.54,301,0.3008,9,0.84,1,0.909091
54,64,0,0.55,309,0.3092,8,0.84,-1,1.09091
55,65,0,0.56,318,0.3178,9,0.86,1,1.16364
56,66,0,0.57,326,0.3264,8,0.86,-1,1.12727
57,67,0,0.58,335,0.3352,9,0.88,1,1.27273
58,68,0,0.59,344,0.344,9,0.88,0,1.29091
59,69,0,0.6,353,0.3532,9,0.92,0,1.29091
60,70,0,0.61,362,0.3624,9,0.92,0,1.27273
61,71,0,0.62,372,0.3716,10,0.92,1,1.32727
62,72,0,0.63,381,0.3812,9,0.96,-1,1.16364
63,73,0,0.64,390,0.3908,9,0.96,0,1.09091
64,74,0,0.65,401,0.4004,11,0.96,2,0.909091
65,75,0,0.66,410,0.4102,9,0.98,-2,0.836364
66,76,0,0.67,420,0.4202,10,1,1,0.70303
67,77,0,0.68,430,0.43,10,0.98,0,0.469697
68,78,0,0.69,440,0.44,10,1,0,0.472727
69,79,0,0.7,450,0.45,10,1,0,0.363636
70,80,0,0.71,460,0.46,10,1,0,0.218182
71,81,0,0.72,470,0.465,10,1,0,0.166667
72,82,0,0.73,480,0.47,10,1,0,0.277778
