index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,2,0.00466667,2,0.233333,2,1.72222
1,11,0,0.02,5,0.006,3,0.25,1,1.66667
2,12,0,0.03,7,0.0074,2,0.26,-1,1.56364
3,13,0,0.04,10,0.0102,3,0.28,1,1.49351
4,14,0,0.05,13,0.013,3,0.28,0,1.37143
5,15,0,0.06,16,0.0162,3,0.32,0,1.20303
6,16,0,0.07,19,0.0194,3,0.32,0,1.08485
7,17,0,0.08,23,0.0226,4,0.32,1,1.05455
8,18,0,0.09,26,0.026,3,0.34,-1,0.981818
9,19,0,0.1,29,0.0294,3,0.34,0,1.09091
10,20,0,0.11,33,0.0328,4,0.34,1,1.07273
11,21,0,0.12,36,0.0364,3,0.36,-1,1.23636
12,22,0,0.13,40,0.0402,4,0.38,1,1.29091
13,23,0,0.14,44,0.044,4,0.38,0,1.32727
14,24,0,0.15,48,0.0482,4,0.42,0,1.34545
15,25,0,0.16,52,0.0524,4,0.42,0,1.34545
16,26,0,0.17,57,0.0568,5,0.44,1,1.21818
17,27,0,0.18,61,0.0612,4,0.44,-1,1.16364
18,28,0,0.19,66,0.0658,5,0.46,1,1.09091
19,29,0,0.2,70,0.0704,4,0.46,-1,0.909091
20,30,0,0.21,75,0.0752,5,0.48,1,0.927273
21,31,0,0.22,80,0.08,5,0.48,0,0.854545
22,32,0,0.23,85,0.085,5,0.5,0,0.890909
23,33,0,0.24,90,0.09,5,0.5,0,0.927273
24,34,0,0.25,95,0.095,5,0.5,0,1.05455
25,35,0,0.26,100,0.1002,5,0.52,0,1.07273
26,36,0,0.27,105,0.1054,5,0.52,0,1.18182
27,37,0,0.28,111,0.1108,6,0.54,1,1.18182
28,38,0,0.29,116,0.1164,5,0.56,-1,1.27273
29,39,0,0.3,122,0.1222,6,0.58,1,1.25455
30,40,0,0.31,128,0.128,6,0.58,0,1.12727
31,41,0,0.32,134,0.134,6,0.6,0,1.09091
32,42,0,0.33,140,0.14,6,0.6,0,1.03636
33,43,0,0.34,146,0.1462,6,0.62,0,0.963636
34,44,0,0.35,152,0.1524,6,0.62,0,0.981818
35,45,0,0.36,159,0.1586,7,0.62,1,1.09091
36,46,0,0.37,165,0.165,6,0.64,-1,1.09091
37,47,0,0.38,171,0.1716,6,0.66,0,1.18182
38,48,0,0.39,178,0.1782,7,0.66,1,1.16364
39,49,0,0.4,185,0.185,7,0.68,0,1.14545
40,50,0,0.41,192,0.192,7,0.7,0,1.12727
41,51,0,0.42,199,0.199,7,0.7,0,1.09091
42,52,0,0.43,206,0.2062,7,0.72,0,1.03636
43,53,0,0.44,213,0.2134,7,0.72,0,1.07273
44,54,0,0.45,221,0.2206,8,0.72,1,1.09091
45,55,0,0.46,228,0.228,7,0.74,-1,1.09091
46,56,0,0.47,235,0.2356,7,0.76,0,1.09091
47,57,0,0.48,243,0.2432,8,0.76,1,1
48,58,0,0.49,251,0.251,8,0.78,0,0.957576
49,59,0,0.5,259,0.259,8,0.8,0,0.854545
50,60,0,0.51,267,0.267,8,0.8,0,0.636364
51,61,0,0.52,275,0.275,8,0.8,0,0.454545
52,62,0,0.53,283,0.283,8,0.8,0,0.327273
53,63,0,0.54,291,0.287,8,0.8,0,0.166667
54,64,0,0.55,299,0.291,8,0.8,0,-3.52452e-14
