index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,11,0,0.00871795,4,0.00866667,4,0.497059,4,0.584775
1,11,1,0.0174359,9,0.011,5,0.516176,1,0.657872
2,11,2,0.0261538,13,0.0132,4,0.504706,-1,0.717678
3,11,3,0.0348718,18,0.0178,5,0.527647,1,0.803116
4,12,0,0.0435897,22,0.0222,4,0.504706,-1,1.04234
5,12,1,0.0523077,27,0.0268,5,0.527647,1,1.32372
6,12,2,0.0610256,31,0.0314,4,0.527647,-1,1.55497
7,12,3,0.0697436,36,0.0362,5,0.550588,1,1.86596
8,14,0,0.0784615,41,0.0412,5,0.573529,0,1.98558
9,15,0,0.0871795,46,0.0464,5,0.596471,0,2.20088
10,16,0,0.0958974,52,0.0518,6,0.619412,1,2.2248
11,17,0,0.104615,57,0.0574,5,0.642353,-1,2.17696
12,18,0,0.113333,63,0.0632,6,0.665294,1,2.05735
13,19,0,0.122051,69,0.069,6,0.665294,0,1.86596
14,20,0,0.130769,75,0.075,6,0.688235,0,1.74635
15,21,0,0.139487,81,0.0812,6,0.711177,0,1.57889
16,22,0,0.148205,87,0.0874,6,0.711177,0,1.50712
17,23,0,0.156923,94,0.0938,7,0.734118,1,1.41143
18,24,0,0.165641,100,0.1002,6,0.734118,-1,1.55497
19,25,0,0.174359,107,0.1068,7,0.757059,1,1.53105
20,26,0,0.183077,113,0.1134,6,0.757059,-1,1.4832
21,27,0,0.191795,120,0.1202,7,0.78,1,1.55497
22,28,0,0.200513,127,0.127,7,0.78,0,1.60282
23,29,0,0.209231,134,0.1342,7,0.825882,0,1.62674
24,30,0,0.217949,141,0.1414,7,0.825882,0,1.62674
25,31,0,0.226667,149,0.1486,8,0.825882,1,1.84204
26,32,0,0.235385,156,0.156,7,0.848824,-1,1.98558
27,33,0,0.244103,163,0.1636,7,0.871765,0,2.05735
28,34,0,0.252821,171,0.1712,8,0.871765,1,1.93773
29,35,0,0.261538,179,0.179,8,0.894706,0,2.03342
30,36,0,0.270256,187,0.1872,8,0.940588,0,1.84204
31,37,0,0.278974,195,0.1956,8,0.963529,0,1.50712
32,38,0,0.287692,204,0.204,9,0.963529,1,1.25992
33,39,0,0.29641,213,0.2124,9,0.963529,0,1.10443
34,40,0,0.305128,221,0.221,8,0.986471,-1,0.760397
35,41,0,0.313846,229,0.2294,8,0.963529,0,0.42719
36,42,0,0.322564,238,0.2378,9,0.963529,1,0.334917
37,43,0,0.331282,246,0.242,8,0.975,-1,0.219291
38,44,0,0.34,255,0.246333,9,0.994118,1,0.0730969
